unique_id,id,rel_path,source,dataset_version,split,fps_src,n_frames_src,dur_src_s,target,event_frame,event_time_s,fps_embed,timing,weather,ego_involve,bins_10fps_50
C-000001,000001,Crash-1500/000001.mp4,CCD,official,val,10,50,5.0,1,32,3.2,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000002,000002,Crash-1500/000002.mp4,CCD,official,val,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000003,000003,Crash-1500/000003.mp4,CCD,official,test,10,50,5.0,1,31,3.1,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000004,000004,Crash-1500/000004.mp4,CCD,official,train,10,50,5.0,1,41,4.1,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
C-000005,000005,Crash-1500/000005.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000006,000006,Crash-1500/000006.mp4,CCD,official,test,10,50,5.0,1,45,4.5,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
C-000007,000007,Crash-1500/000007.mp4,CCD,official,train,10,50,5.0,1,31,3.1,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000008,000008,Crash-1500/000008.mp4,CCD,official,val,10,50,5.0,1,38,3.8,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
C-000009,000009,Crash-1500/000009.mp4,CCD,official,train,10,50,5.0,1,35,3.5,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000010,000010,Crash-1500/000010.mp4,CCD,official,train,10,50,5.0,1,31,3.1,10.0,Night,Rainy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000011,000011,Crash-1500/000011.mp4,CCD,official,val,10,50,5.0,1,43,4.3,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
C-000012,000012,Crash-1500/000012.mp4,CCD,official,test,10,50,5.0,1,30,3.0,10.0,Day,Rainy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000013,000013,Crash-1500/000013.mp4,CCD,official,train,10,50,5.0,1,45,4.5,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
C-000014,000014,Crash-1500/000014.mp4,CCD,official,train,10,50,5.0,1,44,4.4,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000015,000015,Crash-1500/000015.mp4,CCD,official,test,10,50,5.0,1,49,4.9,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
C-000016,000016,Crash-1500/000016.mp4,CCD,official,train,10,50,5.0,1,42,4.2,10.0,Day,Rainy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
C-000017,000017,Crash-1500/000017.mp4,CCD,official,test,10,50,5.0,1,47,4.7,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
