id,time_of_event,time_of_alert,target
C-000410,3.7,,1
C-000236,4.1,,1
C-000723,3.9,,1
C-001493,3.2,,1
N-000270,,,0
N-000473,,,0
C-001269,4.8,,1
N-002517,,,0
N-000141,,,0
C-001036,4.2,,1
N-001274,,,0
C-000651,4.8,,1
N-000705,,,0
N-001355,,,0
N-002353,,,0
N-002794,,,0
N-002937,,,0
N-000555,,,0
N-000672,,,0
N-001072,,,0
N-000718,,,0
N-002692,,,0
N-001195,,,0
C-001307,3.1,,1
N-000734,,,0
N-001390,,,0
N-001500,,,0
C-000842,3.2,,1
C-000666,4.5,,1
N-000772,,,0
C-001453,3.8,,1
N-000578,,,0
N-000880,,,0
N-001486,,,0
C-000730,3.5,,1
C-001236,4.9,,1
N-000815,,,0
N-001587,,,0
C-000380,4.7,,1
N-002774,,,0
C-000430,4.9,,1
C-001070,3.1,,1
N-001110,,,0
N-002968,,,0
N-000888,,,0
N-001695,,,0
N-001200,,,0
C-001158,3.0,,1
N-002518,,,0
N-002459,,,0
C-000097,3.6,,1
N-001135,,,0
N-001319,,,0
C-001053,3.3,,1
N-001219,,,0
N-001670,,,0
N-000197,,,0
N-002521,,,0
C-000540,3.3,,1
N-002097,,,0
N-001565,,,0
C-001445,3.3,,1
N-000016,,,0
N-002461,,,0
N-000840,,,0
N-002263,,,0
C-001229,3.7,,1
C-001154,4.7,,1
N-001343,,,0
N-002864,,,0
N-002725,,,0
N-000338,,,0
N-000357,,,0
N-000945,,,0
C-001121,4.2,,1
C-000532,3.6,,1
N-002425,,,0
C-001302,3.1,,1
N-001699,,,0
N-000579,,,0
C-000034,4.1,,1
N-001774,,,0
C-000067,3.4,,1
C-000946,4.1,,1
N-000423,,,0
N-001311,,,0
C-000598,3.2,,1
N-002436,,,0
C-000474,4.1,,1
C-000546,3.5,,1
N-001731,,,0
N-002659,,,0
N-001494,,,0
N-002657,,,0
N-002259,,,0
C-001332,3.8,,1
N-002252,,,0
C-001312,3.4,,1
N-000739,,,0
N-001281,,,0
C-000919,3.2,,1
C-001135,3.0,,1
N-001269,,,0
N-001996,,,0
N-002077,,,0
C-000798,3.7,,1
N-001174,,,0
N-001890,,,0
N-000059,,,0
N-002267,,,0
N-001951,,,0
C-000300,3.8,,1
N-000259,,,0
N-001903,,,0
N-002082,,,0
N-000361,,,0
N-000173,,,0
N-001396,,,0
N-002273,,,0
N-002169,,,0
N-002571,,,0
