unique_id,id,rel_path,source,dataset_version,split,fps_src,n_frames_src,dur_src_s,target,event_frame,event_time_s,fps_embed,timing,weather,ego_involve,bins_10fps_50
C-TR-000001,000001,training/positive/000001.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000002,000002,training/positive/000002.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000003,000003,training/positive/000003.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000004,000004,training/positive/000004.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000005,000005,training/positive/000005.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000006,000006,training/positive/000006.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000007,000007,training/positive/000007.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000008,000008,training/positive/000008.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000009,000009,training/positive/000009.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000010,000010,training/positive/000010.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000011,000011,training/positive/000011.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000012,000012,training/positive/000012.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000013,000013,training/positive/000013.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000014,000014,training/positive/000014.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000015,000015,training/positive/000015.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000016,000016,training/positive/000016.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000017,000017,training/positive/000017.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000018,000018,training/positive/000018.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000019,000019,training/positive/000019.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000020,000020,training/positive/000020.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000021,000021,training/positive/000021.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000022,000022,training/positive/000022.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000023,000023,training/positive/000023.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000024,000024,training/positive/000024.mp4,DAD,20fps5s,val,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000025,000025,training/positive/000025.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000026,000026,training/positive/000026.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000027,000027,training/positive/000027.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000028,000028,training/positive/000028.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000029,000029,training/positive/000029.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
C-TR-000030,000030,training/positive/000030.mp4,DAD,20fps5s,train,20.000,100,5.000,1,,5.000,20,,,,
