id,subset,anomaly_class,video_start,video_end,anomaly_start,anomaly_end,num_frames,anomaly_start_s,anomaly_end_s,duration_s,ignore,ego_involve,night,channel,accident_name,frames_dir_exists
dZG1VKsgs60_001192,train,ego: leave_to_right,1192,1291,53,79,100,5.3,7.9,10.0,,,,,,1
88LcRU7uEFE_003314,train,ego: leave_to_right,3314,3432,48,107,119,4.8,10.7,11.9,,,,,,1
lmykriTbncM_002565,train,ego: leave_to_right,2565,2669,45,67,105,4.5,6.7,10.5,,,,,,1
QeuzUfHIWYU_002638,train,ego: leave_to_right,2638,2765,40,128,128,4.0,12.8,12.8,,,,,,1
6E2N9ld0eHg_004399,train,ego: leave_to_right,4399,4507,16,103,109,1.6,10.3,10.9,,,,,,1
P5MjgFmqouA_002297,train,ego: leave_to_right,2297,2380,49,84,84,4.9,8.4,8.4,,,,,,1
gZbGLa253Ak_004421,train,ego: leave_to_right,4421,4572,38,120,152,3.8,12.0,15.2,,,,,,1
fWJbp43k644_002113,train,ego: leave_to_right,2113,2228,61,116,116,6.1,11.6,11.6,,,,,,1
DSBGS6aRzgc_003585,train,ego: leave_to_right,3585,3708,37,97,124,3.7,9.7,12.4,,,,,,1
Hx8FMhmdOQU_003882,train,ego: leave_to_right,3882,3990,39,88,109,3.9,8.8,10.9,,,,,,1
lKMwX4nA64k_003483,train,ego: leave_to_right,3483,3566,54,80,84,5.4,8.0,8.4,,,,,,1
f482qwPz7ns_005169,train,ego: leave_to_right,5169,5346,76,96,178,7.6,9.6,17.8,,,,,,1
a_VxrUq9PmA_005011,train,ego: leave_to_right,5011,5149,47,137,139,4.7,13.7,13.9,,,,,,1
lKMwX4nA64k_005934,train,ego: leave_to_right,5934,6011,23,54,78,2.3,5.4,7.8,,,,,,1
Eq7_uD2yN5Y_005653,train,ego: leave_to_right,5653,5751,52,90,99,5.2,9.0,9.9,,,,,,1
GdyJqgxlSxs_002184,train,ego: leave_to_right,2184,2299,49,116,116,4.9,11.6,11.6,,,,,,1
ZIts2XH28SA_002006,train,ego: leave_to_right,2006,2124,47,98,119,4.7,9.8,11.9,,,,,,1
kld-iYpdjyo_001217,train,ego: leave_to_right,1217,1309,44,75,93,4.4,7.5,9.3,,,,,,1
dZG1VKsgs60_000936,train,ego: leave_to_right,936,1034,46,87,99,4.6,8.7,9.9,,,,,,1
TlBhM9Xbr2o_001092,train,ego: leave_to_right,1092,1198,46,90,107,4.6,9.0,10.7,,,,,,1
uO2zGO5ydBc_001091,train,ego: leave_to_right,1091,1192,48,87,102,4.8,8.7,10.2,,,,,,1
GdyJqgxlSxs_004590,train,ego: leave_to_right,4590,4694,19,92,105,1.9,9.2,10.5,,,,,,1
J-j5eIHg8I0_002327,train,ego: leave_to_right,2327,2475,64,110,149,6.4,11.0,14.9,,,,,,1
PYL3JcSsS6o_002738,train,ego: leave_to_right,2738,2856,35,94,119,3.5,9.4,11.9,,,,,,1
GdyJqgxlSxs_000643,train,ego: leave_to_right,643,725,24,66,83,2.4,6.6,8.3,,,,,,1
fdvMUP8qvzw_000713,train,ego: leave_to_right,713,815,46,103,103,4.6,10.3,10.3,,,,,,1
kVhgFPPG-wo_002598,train,ego: leave_to_right,2598,2703,29,63,106,2.9,6.3,10.6,,,,,,1
L334aqEJxys_002930,train,ego: leave_to_right,2930,3068,38,129,139,3.8,12.9,13.9,,,,,,1
Z9K13eBUwJM_000061,train,ego: leave_to_right,61,133,12,57,73,1.2,5.7,7.3,,,,,,1
fb5i7JlmJdg_002818,train,ego: leave_to_right,2818,2927,38,110,110,3.8,11.0,11.0,,,,,,1
OWtbKblBOKI_005314,train,ego: leave_to_right,5314,5405,38,85,92,3.8,8.5,9.2,,,,,,1
ujVRDgGVzlQ_004489,train,ego: leave_to_right,4489,4589,38,71,101,3.8,7.1,10.1,,,,,,1
fHUJcUaW2mE_001521,train,ego: leave_to_right,1521,1660,116,140,140,11.6,14.0,14.0,,,,,,1
bFGmOp9H3MA_004096,train,ego: leave_to_right,4096,4178,13,42,83,1.3,4.2,8.3,,,,,,1
TlBhM9Xbr2o_002305,train,ego: leave_to_right,2305,2409,49,79,105,4.9,7.9,10.5,,,,,,1
cfrLchAShxQ_003805,train,ego: leave_to_right,3805,3894,34,76,90,3.4,7.6,9.0,,,,,,1
EY8x-fyQkbk_001548,train,ego: leave_to_right,1548,1643,41,96,96,4.1,9.6,9.6,,,,,,1
DyzL2sahobA_004994,train,ego: leave_to_right,4994,5106,65,101,113,6.5,10.1,11.3,,,,,,1
RASKiMoxhOE_003591,train,ego: leave_to_right,3591,3681,39,88,91,3.9,8.8,9.1,,,,,,1
eN6y6-4C1Rc_004088,train,ego: leave_to_right,4088,4171,31,72,84,3.1,7.2,8.4,,,,,,1
UbDCiQVuzPY_002731,train,ego: leave_to_right,2731,2849,71,94,119,7.1,9.4,11.9,,,,,,1
Hx8FMhmdOQU_004730,train,ego: leave_to_right,4730,4849,54,95,120,5.4,9.5,12.0,,,,,,1
JkYzYrJpSoQ_004518,train,ego: leave_to_right,4518,4656,32,96,139,3.2,9.6,13.9,,,,,,1
ahKX0rtdMJc_001132,train,ego: leave_to_right,1132,1290,64,151,159,6.4,15.1,15.9,,,,,,1
hdOtS-BpUPY_004383,train,ego: leave_to_right,4383,4501,60,100,119,6.0,10.0,11.9,,,,,,1
LfKfK4I5RPE_005264,train,ego: leave_to_right,5264,5412,45,140,149,4.5,14.0,14.9,,,,,,1
0qfbmt4G8Rw_003336,train,ego: leave_to_right,3336,3438,39,85,103,3.9,8.5,10.3,,,,,,1
D_pyFV4nKd4_003894,train,ego: leave_to_right,3894,3991,50,98,98,5.0,9.8,9.8,,,,,,1
DpQBo4gb6Lw_003134,train,ego: leave_to_right,3134,3272,58,106,139,5.8,10.6,13.9,,,,,,1
ha-IeID24As_000447,train,ego: leave_to_right,447,595,53,103,149,5.3,10.3,14.9,,,,,,1
3tEZvtQZ18Q_000371,train,ego: leave_to_right,371,439,0,46,69,0.0,4.6,6.9,,,,,,1
t4Cvbdtebk0_004664,train,ego: leave_to_right,4664,4792,37,86,129,3.7,8.6,12.9,,,,,,1
Z9K13eBUwJM_000629,train,ego: leave_to_right,629,746,33,94,118,3.3,9.4,11.8,,,,,,1
P5MjgFmqouA_004477,train,ego: leave_to_right,4477,4581,28,76,105,2.8,7.6,10.5,,,,,,1
jFFhYwgepmY_001108,train,ego: leave_to_right,1108,1247,43,115,140,4.3,11.5,14.0,,,,,,1
3u_CIo9IaWo_003276,train,ego: leave_to_right,3276,3398,45,101,123,4.5,10.1,12.3,,,,,,1
sUbP4j8rAic_001693,train,ego: leave_to_right,1693,1817,39,89,125,3.9,8.9,12.5,,,,,,1
gDjeTHGWX9c_005001,train,ego: leave_to_right,5001,5151,65,151,151,6.5,15.1,15.1,,,,,,1
xVfPBzDnI2Q_004984,train,ego: leave_to_right,4984,5080,38,82,97,3.8,8.2,9.7,,,,,,1
W6YrlYyWguc_000325,train,ego: leave_to_right,325,493,72,147,169,7.2,14.7,16.9,,,,,,1
0RJPQ_97dcs_000199,train,ego: leave_to_right,199,305,40,70,107,4.0,7.0,10.7,,,,,,1
nHvTqyRntbY_005330,train,ego: leave_to_right,5330,5447,38,95,118,3.8,9.5,11.8,,,,,,1
IOoVklIZLMw_004588,train,ego: leave_to_right,4588,4765,76,109,178,7.6,10.9,17.8,,,,,,1
