id,target,time_of_event,time_of_alert
dZG1VKsgs60_001192,1,5.300,
dZG1VKsgs60_001192__pre,0,,
88LcRU7uEFE_003314,1,4.800,
88LcRU7uEFE_003314__pre,0,,
lmykriTbncM_002565,1,4.500,
lmykriTbncM_002565__pre,0,,
QeuzUfHIWYU_002638,1,4.000,
QeuzUfHIWYU_002638__pre,0,,
6E2N9ld0eHg_004399,1,1.600,
P5MjgFmqouA_002297,1,4.900,
P5MjgFmqouA_002297__pre,0,,
gZbGLa253Ak_004421,1,3.800,
gZbGLa253Ak_004421__pre,0,,
fWJbp43k644_002113,1,6.100,
fWJbp43k644_002113__pre,0,,
DSBGS6aRzgc_003585,1,3.700,
DSBGS6aRzgc_003585__pre,0,,
Hx8FMhmdOQU_003882,1,3.900,
Hx8FMhmdOQU_003882__pre,0,,
lKMwX4nA64k_003483,1,5.400,
lKMwX4nA64k_003483__pre,0,,
f482qwPz7ns_005169,1,7.600,
f482qwPz7ns_005169__pre,0,,
a_VxrUq9PmA_005011,1,4.700,
a_VxrUq9PmA_005011__pre,0,,
lKMwX4nA64k_005934,1,2.300,
lKMwX4nA64k_005934__pre,0,,
Eq7_uD2yN5Y_005653,1,5.200,
Eq7_uD2yN5Y_005653__pre,0,,
GdyJqgxlSxs_002184,1,4.900,
GdyJqgxlSxs_002184__pre,0,,
ZIts2XH28SA_002006,1,4.700,
ZIts2XH28SA_002006__pre,0,,
kld-iYpdjyo_001217,1,4.400,
kld-iYpdjyo_001217__pre,0,,
dZG1VKsgs60_000936,1,4.600,
dZG1VKsgs60_000936__pre,0,,
TlBhM9Xbr2o_001092,1,4.600,
TlBhM9Xbr2o_001092__pre,0,,
uO2zGO5ydBc_001091,1,4.800,
uO2zGO5ydBc_001091__pre,0,,
GdyJqgxlSxs_004590,1,1.900,
J-j5eIHg8I0_002327,1,6.400,
J-j5eIHg8I0_002327__pre,0,,
PYL3JcSsS6o_002738,1,3.500,
PYL3JcSsS6o_002738__pre,0,,
GdyJqgxlSxs_000643,1,2.400,
GdyJqgxlSxs_000643__pre,0,,
fdvMUP8qvzw_000713,1,4.600,
fdvMUP8qvzw_000713__pre,0,,
kVhgFPPG-wo_002598,1,2.900,
kVhgFPPG-wo_002598__pre,0,,
L334aqEJxys_002930,1,3.800,
L334aqEJxys_002930__pre,0,,
Z9K13eBUwJM_000061,1,1.200,
fb5i7JlmJdg_002818,1,3.800,
fb5i7JlmJdg_002818__pre,0,,
OWtbKblBOKI_005314,1,3.800,
OWtbKblBOKI_005314__pre,0,,
ujVRDgGVzlQ_004489,1,3.800,
ujVRDgGVzlQ_004489__pre,0,,
fHUJcUaW2mE_001521,1,11.600,
fHUJcUaW2mE_001521__pre,0,,
bFGmOp9H3MA_004096,1,1.300,
TlBhM9Xbr2o_002305,1,4.900,
TlBhM9Xbr2o_002305__pre,0,,
cfrLchAShxQ_003805,1,3.400,
cfrLchAShxQ_003805__pre,0,,
EY8x-fyQkbk_001548,1,4.100,
EY8x-fyQkbk_001548__pre,0,,
DyzL2sahobA_004994,1,6.500,
DyzL2sahobA_004994__pre,0,,
RASKiMoxhOE_003591,1,3.900,
RASKiMoxhOE_003591__pre,0,,
eN6y6-4C1Rc_004088,1,3.100,
eN6y6-4C1Rc_004088__pre,0,,
UbDCiQVuzPY_002731,1,7.100,
UbDCiQVuzPY_002731__pre,0,,
Hx8FMhmdOQU_004730,1,5.400,
Hx8FMhmdOQU_004730__pre,0,,
JkYzYrJpSoQ_004518,1,3.200,
JkYzYrJpSoQ_004518__pre,0,,
ahKX0rtdMJc_001132,1,6.400,
ahKX0rtdMJc_001132__pre,0,,
hdOtS-BpUPY_004383,1,6.000,
hdOtS-BpUPY_004383__pre,0,,
LfKfK4I5RPE_005264,1,4.500,
LfKfK4I5RPE_005264__pre,0,,
0qfbmt4G8Rw_003336,1,3.900,
0qfbmt4G8Rw_003336__pre,0,,
D_pyFV4nKd4_003894,1,5.000,
D_pyFV4nKd4_003894__pre,0,,
DpQBo4gb6Lw_003134,1,5.800,
DpQBo4gb6Lw_003134__pre,0,,
ha-IeID24As_000447,1,5.300,
ha-IeID24As_000447__pre,0,,
3tEZvtQZ18Q_000371,1,0.000,
t4Cvbdtebk0_004664,1,3.700,
t4Cvbdtebk0_004664__pre,0,,
Z9K13eBUwJM_000629,1,3.300,
Z9K13eBUwJM_000629__pre,0,,
P5MjgFmqouA_004477,1,2.800,
P5MjgFmqouA_004477__pre,0,,
jFFhYwgepmY_001108,1,4.300,
jFFhYwgepmY_001108__pre,0,,
3u_CIo9IaWo_003276,1,4.500,
3u_CIo9IaWo_003276__pre,0,,
sUbP4j8rAic_001693,1,3.900,
sUbP4j8rAic_001693__pre,0,,
gDjeTHGWX9c_005001,1,6.500,
gDjeTHGWX9c_005001__pre,0,,
xVfPBzDnI2Q_004984,1,3.800,
xVfPBzDnI2Q_004984__pre,0,,
W6YrlYyWguc_000325,1,7.200,
W6YrlYyWguc_000325__pre,0,,
0RJPQ_97dcs_000199,1,4.000,
0RJPQ_97dcs_000199__pre,0,,
nHvTqyRntbY_005330,1,3.800,
nHvTqyRntbY_005330__pre,0,,
IOoVklIZLMw_004588,1,7.600,
IOoVklIZLMw_004588__pre,0,,
qzMjfBx1KI0_001259,1,3.700,
qzMjfBx1KI0_001259__pre,0,,
qzMjfBx1KI0_002692,1,1.400,
p-fBcE77G4c_005117,1,4.700,
p-fBcE77G4c_005117__pre,0,,
DpQBo4gb6Lw_000907,1,7.200,
DpQBo4gb6Lw_000907__pre,0,,
EY8x-fyQkbk_000286,1,3.700,
EY8x-fyQkbk_000286__pre,0,,
yhtzAKqRyXw_005208,1,3.800,
yhtzAKqRyXw_005208__pre,0,,
Q7VBPeGwJWw_001111,1,2.900,
Q7VBPeGwJWw_001111__pre,0,,
PqbpIHZvjMA_001683,1,3.900,
PqbpIHZvjMA_001683__pre,0,,
fHUJcUaW2mE_001103,1,4.000,
fHUJcUaW2mE_001103__pre,0,,
f482qwPz7ns_001256,1,9.600,
f482qwPz7ns_001256__pre,0,,
RASKiMoxhOE_003357,1,3.700,
RASKiMoxhOE_003357__pre,0,,
1u69z-wsDIc_002579,1,4.100,
1u69z-wsDIc_002579__pre,0,,
90gyBengKDs_004600,1,1.600,
yB6fjM1UUC0_000341,1,7.200,
yB6fjM1UUC0_000341__pre,0,,
UKBuDqU8qTM_002520,1,4.500,
UKBuDqU8qTM_002520__pre,0,,
uO2zGO5ydBc_001658,1,5.700,
uO2zGO5ydBc_001658__pre,0,,
88LcRU7uEFE_000370,1,3.400,
88LcRU7uEFE_000370__pre,0,,
K1r3m5OrmB4_000236,1,3.000,
K1r3m5OrmB4_000236__pre,0,,
3u_CIo9IaWo_000332,1,4.400,
3u_CIo9IaWo_000332__pre,0,,
fsqORUrKLYg_001105,1,5.000,
fsqORUrKLYg_001105__pre,0,,
ujVRDgGVzlQ_002470,1,3.800,
ujVRDgGVzlQ_002470__pre,0,,
Zpo0kwg1XEQ_001399,1,3.400,
Zpo0kwg1XEQ_001399__pre,0,,
fb5i7JlmJdg_000073,1,4.000,
fb5i7JlmJdg_000073__pre,0,,
UjkeNSr2dXQ_005463,1,1.300,
8dI7OolIEXY_003076,1,3.600,
8dI7OolIEXY_003076__pre,0,,
UOjQsfDXjO0_001718,1,8.400,
UOjQsfDXjO0_001718__pre,0,,
h55PiQMnlJY_003675,1,5.300,
h55PiQMnlJY_003675__pre,0,,
YBEYOS3A3Ic_000532,1,6.200,
YBEYOS3A3Ic_000532__pre,0,,
fsqORUrKLYg_001563,1,6.400,
fsqORUrKLYg_001563__pre,0,,
DSBGS6aRzgc_000771,1,4.500,
DSBGS6aRzgc_000771__pre,0,,
kVhgFPPG-wo_004282,1,1.300,
L334aqEJxys_004719,1,5.000,
L334aqEJxys_004719__pre,0,,
TNZv-NBcV5U_004020,1,3.500,
TNZv-NBcV5U_004020__pre,0,,
RASKiMoxhOE_003270,1,2.600,
RASKiMoxhOE_003270__pre,0,,
Izf9l3VWQuo_000331,1,4.000,
Izf9l3VWQuo_000331__pre,0,,
4K_6s1n6BpU_005467,1,2.300,
4K_6s1n6BpU_005467__pre,0,,
pQdl0apLT70_004880,1,2.800,
pQdl0apLT70_004880__pre,0,,
bcpfYpmDcp0_000888,1,2.800,
bcpfYpmDcp0_000888__pre,0,,
fHUJcUaW2mE_000347,1,6.300,
fHUJcUaW2mE_000347__pre,0,,
fsqORUrKLYg_000211,1,6.600,
fsqORUrKLYg_000211__pre,0,,
Sihe6aeyLHg_002452,1,3.200,
Sihe6aeyLHg_002452__pre,0,,
gZbGLa253Ak_004574,1,2.800,
gZbGLa253Ak_004574__pre,0,,
HzVbo46kkBA_001028,1,2.700,
HzVbo46kkBA_001028__pre,0,,
OWtbKblBOKI_002215,1,3.500,
OWtbKblBOKI_002215__pre,0,,
4wKjxDXnmYs_005526,1,2.400,
4wKjxDXnmYs_005526__pre,0,,
lKMwX4nA64k_005856,1,2.500,
lKMwX4nA64k_005856__pre,0,,
ahKX0rtdMJc_001723,1,4.800,
ahKX0rtdMJc_001723__pre,0,,
PYL3JcSsS6o_005610,1,7.600,
PYL3JcSsS6o_005610__pre,0,,
fdvMUP8qvzw_004172,1,3.800,
fdvMUP8qvzw_004172__pre,0,,
JV0D-YkWHD8_003124,1,2.300,
JV0D-YkWHD8_003124__pre,0,,
ieP36TLihGM_004234,1,5.200,
ieP36TLihGM_004234__pre,0,,
dZG1VKsgs60_001563,1,2.800,
dZG1VKsgs60_001563__pre,0,,
fWJbp43k644_002373,1,5.200,
fWJbp43k644_002373__pre,0,,
IQwS7BEjUxM_004386,1,3.100,
IQwS7BEjUxM_004386__pre,0,,
nHvTqyRntbY_002024,1,2.500,
nHvTqyRntbY_002024__pre,0,,
YBEYOS3A3Ic_001727,1,3.400,
YBEYOS3A3Ic_001727__pre,0,,
Sihe6aeyLHg_006383,1,1.800,
y4Evv5By6sg_001058,1,4.000,
y4Evv5By6sg_001058__pre,0,,
eW9vWga9F5M_000811,1,3.400,
eW9vWga9F5M_000811__pre,0,,
4wKjxDXnmYs_004902,1,1.400,
TNZv-NBcV5U_002572,1,1.900,
vdLn-qswnRo_000403,1,3.600,
vdLn-qswnRo_000403__pre,0,,
IOoVklIZLMw_001334,1,4.300,
IOoVklIZLMw_001334__pre,0,,
HzVbo46kkBA_003484,1,5.800,
HzVbo46kkBA_003484__pre,0,,
Vtpe3HAIEm4_003523,1,4.300,
Vtpe3HAIEm4_003523__pre,0,,
xpOyD-qrQUw_003942,1,4.100,
xpOyD-qrQUw_003942__pre,0,,
xVfPBzDnI2Q_002001,1,3.500,
xVfPBzDnI2Q_002001__pre,0,,
ZIts2XH28SA_002310,1,4.200,
ZIts2XH28SA_002310__pre,0,,
sdqIDbZJfy0_005110,1,2.900,
sdqIDbZJfy0_005110__pre,0,,
fdvMUP8qvzw_000361,1,5.600,
fdvMUP8qvzw_000361__pre,0,,
ruiSuGHJf6Q_001641,1,9.900,
ruiSuGHJf6Q_001641__pre,0,,
GYWPqbrY8Z4_001682,1,1.800,
bI9JzQSrEGo_003112,1,3.100,
bI9JzQSrEGo_003112__pre,0,,
